symbol,price,spread,depth+2%,depth-2%,volume,volume%,spread>5%,category
FIL/USDT,$23.78,1.38%,$813,$494,"$1,207,120.81",0.11%,0,1
UMA/USDT,$12.72,1.47%,"$1,325","$1,167","$1,154,319.82",0.10%,0,1
BNB/BTC,$45.58,0.49%,"$5,714","$6,925","$1,153,923.68",0.10%,0,1
OMG/BTC,$4.04,0.85%,"$1,790",$639,"$1,153,055.50",0.10%,0,1
WOO/USDT,$0.03,-,-,-,"$1,143,883.25",0.10%,1,1
OMG/ETH,$4.07,0.61%,$330,"$6,645","$1,085,827.06",0.10%,0,1
NULS/USDT,$0.31,1.35%,"$5,193","$1,406","$1,050,461.22",0.09%,0,1
OKB/USDT,$6.41,0.58%,"$8,042","$1,913","$1,024,519.80",0.09%,0,1
SNX/USDT,$16.00,1.22%,"$2,760","$3,474","$992,091.66",0.09%,0,1
 QTUM/BTC,$3.28,3.33%,"$4,397","$5,003","$929,483.28",0.08%,0,3
ZRX/ETH,$0.57,3.31%,$533,"$2,401","$879,881.93",0.08%,0,1
NEXO/USDT,$0.68,2.34%,"$1,416","$1,198","$836,322.85",0.07%,0,3
ZRX/BTC,$0.57,3.43%,$534,"$7,533","$718,740.96",0.06%,0,1
ETC/ETH,$8.12,0.88%,"$3,589","$2,018","$666,863.35",0.06%,0,1
JST/USDT,$0.03,2.12%,$343,$856,"$663,171.01",0.06%,0,1
DIA/USDT,$1.69,0.89%,"$1,330","$2,019","$654,427.95",0.06%,0,1
AR/USDT,$4.60,1.01%,"$2,981","$2,131","$630,473.63",0.06%,0,3
1INCH/USDT,$1.93,5.34%,$0,$0,"$620,345.17",0.05%,1,1
