timestamp,volume,open,last_price,low,high
1607158800,358721.1,0.9991,0.9994,0.9991,0.9996
1607162400,124950.35,0.9995,0.9992,0.9992,0.9995
1607166000,90707.17,0.9993,0.9992,0.9992,0.9994
1607169600,60545.23,0.9993,0.9992,0.9991,0.9994
1607173200,447051.83,0.9992,0.9994,0.9991,1.0007
1607176800,57962.71,0.9994,0.9994,0.9993,0.9995
1607180400,95365.8,0.9994,0.9994,0.9994,0.9996
1607184000,166321.11,0.9994,0.9995,0.9993,0.9995
1607187600,56118.6,0.9995,0.9995,0.9993,0.9995
1607191200,19582.04,0.9995,0.9995,0.9994,0.9995
1607194800,52139.49,0.9994,0.9994,0.9993,0.9995
1607198400,27936.83,0.9994,0.9994,0.9993,0.9995
1607202000,49719.33,0.9994,0.9995,0.9993,0.9995
1607205600,35967.9,0.9995,0.9996,0.9995,0.9997
1607209200,194419.96,0.9996,0.9996,0.9995,0.9998
1607212800,279035.75,0.9995,0.9994,0.9992,0.9996
1607216400,275104.7,0.9994,0.9996,0.9993,0.9996
1607220000,46898.54,0.9996,0.9997,0.9995,0.9997
1607223600,69737.25,0.9997,0.9996,0.9995,0.9997
1607227200,62424.11,0.9995,0.9996,0.9994,0.9997
1607230800,131624.8,0.9996,0.9995,0.9994,0.9996
1607234400,103560.03,0.9995,0.9995,0.9993,0.9996
1607238000,121248.05,0.9995,0.9995,0.9994,0.9996
1607241600,173037.62,0.9995,0.9995,0.9994,0.9995
1607245200,184792.17,0.9995,0.9996,0.9994,0.9997
1607248800,27547.21,0.9996,0.9996,0.9996,0.9997
1607252400,92281.45,0.9995,0.9995,0.9995,0.9996
1607256000,74071.81,0.9995,0.9996,0.9994,0.9997
1607259600,224608.25,0.9996,0.9995,0.9994,0.9996
1607263200,134081.59,0.9995,0.9994,0.9993,0.9995
1607266800,147003.92,0.9994,0.9995,0.9994,0.9996
1607270400,125474.44,0.9995,0.9995,0.9994,0.9997
1607274000,86178.58,0.9995,0.9995,0.9994,0.9996
1607277600,70521.31,0.9995,0.9996,0.9994,0.9997
1607281200,122256.31,0.9996,0.9995,0.9995,0.9997
1607284800,171265.37,0.9995,0.9995,0.9992,0.9997
1607288400,77903.0,0.9996,0.9995,0.9994,0.9996
1607292000,199310.99,0.9996,0.9994,0.9994,0.9998
1607295600,119063.59,0.9995,0.9994,0.9994,0.9995
1607299200,119090.84,0.9995,0.9994,0.9994,0.9996
1607302800,52191.48,0.9995,0.9994,0.9994,0.9996
1607306400,25824.72,0.9995,0.9995,0.9995,0.9996
1607310000,52881.68,0.9996,0.9995,0.9995,0.9997
1607313600,174792.0,0.9996,0.9996,0.9995,0.9996
1607317200,93028.79,0.9995,0.9997,0.9995,0.9997
1607320800,121527.1,0.9998,0.9997,0.9996,0.9998
1607324400,111300.16,0.9996,0.9996,0.9996,0.9997
1607328000,121956.19,0.9996,0.9998,0.9996,0.9999
1607331600,151013.56,0.9998,0.9998,0.9997,0.9999
1607335200,267252.84,0.9999,0.9998,0.9998,0.9999
1607338800,294126.67,0.9998,0.9998,0.9997,0.9999
1607342400,112204.21,0.9999,0.9999,0.9998,1.0001
1607346000,158951.52,0.9999,0.9998,0.9997,0.9999
1607349600,350817.53,0.9998,0.9998,0.9996,1.0
1607353200,108749.37,0.9998,0.9997,0.9996,0.9998
1607356800,184370.54,0.9997,0.9997,0.9996,0.9999
1607360400,75536.42,0.9998,0.9998,0.9997,1.0
1607364000,358509.8,0.9999,1.0,0.9997,1.0002
1607367600,246714.0,1.0,0.9999,0.9998,1.0001
1607371200,143145.28,0.9999,0.9998,0.9997,1.0
1607374800,61978.28,0.9998,0.9997,0.9997,0.9999
1607378400,105007.48,0.9997,0.9998,0.9997,1.0
1607382000,112885.0,0.9997,0.9996,0.9995,0.9998
1607385600,176007.96,0.9996,0.9996,0.9995,0.9997
1607389200,162187.4,0.9996,0.9995,0.9994,0.9996
1607392800,327517.84,0.9995,0.9996,0.9995,0.9997
1607396400,106362.57,0.9996,0.9996,0.9995,0.9997
1607400000,45227.36,0.9996,0.9996,0.9995,0.9997
1607403600,159100.28,0.9997,0.9998,0.9997,0.9999
1607407200,267179.63,0.9997,0.9999,0.9996,0.9999
1607410800,226628.0,0.9998,1.0,0.9998,1.0002
1607414400,232015.86,1.0002,1.0002,1.0,1.0002
1607418000,570035.06,1.0002,1.0002,1.0,1.0004
1607421600,455863.23,1.0003,1.0002,1.0,1.0005
1607425200,335415.67,1.0,1.0001,1.0,1.0003
1607428800,384679.66,1.0002,1.0002,1.0,1.0004
1607432400,279530.33,1.0002,0.9997,0.9997,1.0002
1607436000,451609.78,0.9998,0.9998,0.9992,0.9999
1607439600,736982.24,0.9998,0.9999,0.9997,1.0004
1607443200,289738.99,0.9999,1.0,0.9998,1.0002
1607446800,272604.77,1.0001,1.0,0.9999,1.0001
1607450400,448952.12,0.9999,1.0003,0.9999,1.0003
1607454000,256891.32,1.0003,1.0005,1.0002,1.0006
1607457600,610918.98,1.0005,1.0005,1.0003,1.0008
1607461200,246873.73,1.0004,1.0003,1.0002,1.0005
1607464800,408850.55,1.0004,1.0004,1.0003,1.0008
1607468400,571404.17,1.0005,1.0005,1.0003,1.0009
1607472000,229046.32,1.0005,1.0007,1.0004,1.0007
1607475600,500180.5,1.0007,1.0006,1.0005,1.0007
